Name,Label,Mass
M582,M582:459.10267,459.10267
M583,M583:459.22065,459.22065
M584,M584:460.17956,460.17956
M585,M585:460.32774,460.32774
M586,M586:460.93288,460.93288
M587,M587:461.08525,461.08525
M588,M588:461.25793,461.25793
M589,M589:461.26368,461.26368
M590,M590:461.34817,461.34817
M591,M591:462.02857,462.02857
M592,M592:462.03698,462.03698
M593,M593:462.04592,462.04592
M594,M594:462.06448,462.06448
M595,M595:462.16216,462.16216
M596,M596:462.19834,462.19834
M597,M597:462.3067,462.3067
M598,M598:462.91693,462.91693
M599,M599:462.98248,462.98248
M600,M600:464.31277,464.31277
M601,M601:465.00121,465.00121
M602,M602:465.03233,465.03233
M603,M603:466.0951,466.0951
M604,M604:466.19158,466.19158
M605,M605:466.22802,466.22802
M606,M606:466.26837,466.26837
M607,M607:466.42659,466.42659
M608,M608:467.13102,467.13102
M609,M609:467.21195,467.21195
M610,M610:467.28814,467.28814
M611,M611:468.04543,468.04543
M612,M612:468.26797,468.26797
M613,M613:469.08928,469.08928
M614,M614:469.14658,469.14658
M615,M615:469.24127,469.24127
M616,M616:469.26696,469.26696
M617,M617:470.0269,470.0269
M618,M618:470.08931,470.08931
M619,M619:470.36687,470.36687
M620,M620:470.37207,470.37207
M621,M621:470.96167,470.96167
M622,M622:471.09607,471.09607
M623,M623:471.10285,471.10285
M624,M624:471.25735,471.25735
M625,M625:471.26447,471.26447
M626,M626:471.28271,471.28271
M627,M627:472.22248,472.22248
M628,M628:472.26315,472.26315
M629,M629:472.98191,472.98191
M630,M630:473.06173,473.06173
M631,M631:474.29133,474.29133
M632,M632:474.39515,474.39515
M633,M633:475.05514,475.05514
M634,M634:475.14708,475.14708
M635,M635:476.18272,476.18272
M636,M636:476.33797,476.33797
M637,M637:476.37457,476.37457
M638,M638:478.92991,478.92991
M639,M639:478.95122,478.95122
M640,M640:479.18632,479.18632
M641,M641:479.24757,479.24757
M642,M642:479.35755,479.35755
M643,M643:480.20816,480.20816
M644,M644:480.22331,480.22331
M645,M645:481.21168,481.21168
M646,M646:481.22746,481.22746
M647,M647:481.30415,481.30415
M648,M648:481.44549,481.44549
M649,M649:482.02437,482.02437
M650,M650:482.18624,482.18624
M651,M651:482.29903,482.29903
M652,M652:483.18296,483.18296
M653,M653:483.21715,483.21715
M654,M654:483.25677,483.25677
M655,M655:483.32668,483.32668
M656,M656:484.24165,484.24165
M657,M657:485.23616,485.23616
M658,M658:486.02736,486.02736
M659,M659:486.36221,486.36221
M660,M660:486.39496,486.39496
M661,M661:487.21557,487.21557
M662,M662:487.25171,487.25171
M663,M663:488.27288,488.27288
M664,M664:489.02535,489.02535
M665,M665:489.23044,489.23044
M666,M666:489.41406,489.41406
M667,M667:490.10414,490.10414
M668,M668:490.21575,490.21575
M669,M669:490.22942,490.22942
M670,M670:490.39008,490.39008
M671,M671:491.18727,491.18727
M672,M672:492.36979,492.36979
M673,M673:492.97634,492.97634
M674,M674:492.99044,492.99044
M675,M675:493.26381,493.26381
M676,M676:495.00614,495.00614
M677,M677:495.02592,495.02592
M678,M678:495.20658,495.20658
M679,M679:495.25682,495.25682
M680,M680:496.20223,496.20223
M681,M681:497.22243,497.22243
M682,M682:497.27273,497.27273
M683,M683:498.97539,498.97539
M684,M684:498.99294,498.99294
M685,M685:499.25207,499.25207
M686,M686:500.374,500.374
M687,M687:501.23098,501.23098
M688,M688:501.2677,501.2677
M689,M689:502.25173,502.25173
M690,M690:502.34455,502.34455
M691,M691:502.38974,502.38974
M692,M692:503.24675,503.24675
M693,M693:503.39315,503.39315
M694,M694:505.9975,505.9975
M695,M695:506.09098,506.09098
M696,M696:506.96274,506.96274
M697,M697:507.26206,507.26206
M698,M698:508.01318,508.01318
M699,M699:508.03403,508.03403
M700,M700:508.96445,508.96445
M701,M701:509.23674,509.23674
M702,M702:509.32473,509.32473
M703,M703:510.0248,510.0248
M704,M704:510.21809,510.21809
M705,M705:510.23987,510.23987
M706,M706:511.12077,511.12077
M707,M707:511.26724,511.26724
M708,M708:512.08616,512.08616
M709,M709:512.30939,512.30939
M710,M710:512.41049,512.41049
M711,M711:512.90028,512.90028
M712,M712:513.13663,513.13663
M713,M713:513.23455,513.23455
M714,M714:514.02955,514.02955
M715,M715:514.03775,514.03775
M716,M716:514.0659,514.0659
M717,M717:514.26278,514.26278
M718,M718:514.95397,514.95397
M719,M719:515.01421,515.01421
M720,M720:515.07323,515.07323
M721,M721:515.24686,515.24686
M722,M722:515.25048,515.25048
M723,M723:516.00061,516.00061
M724,M724:516.26033,516.26033
M725,M725:516.30016,516.30016
M726,M726:517.11148,517.11148
M727,M727:517.19028,517.19028
M728,M728:518.10824,518.10824
M729,M729:518.33736,518.33736
M730,M730:518.42125,518.42125
M731,M731:518.93812,518.93812
M732,M732:519.23192,519.23192
M733,M733:520.26843,520.26843
M734,M734:520.35073,520.35073
M735,M735:520.40042,520.40042
M736,M736:521.27756,521.27756
M737,M737:521.28407,521.28407
M738,M738:521.40345,521.40345
M739,M739:522.32978,522.32978
M740,M740:522.37952,522.37952
M741,M741:522.41632,522.41632
M742,M742:522.91146,522.91146
M743,M743:523.4561,523.4561
